nba_id,year,player_name,bref_id,team,FT_PERC,FTPerc,games,is_aggregate_team
920,1997,A.C. Green,greenac01,2TM,0.65,0.65,83,True
243,1997,Aaron McKie,mckieaa01,2TM,0.836,0.836,83,True
1425,1997,Aaron Williams,williaa01,2TM,0.673,0.673,33,True
768,1997,Acie Earl,earlac01,2TM,0.643,0.643,47,True
228,1997,Adam Keefe,keefead01,UTA,0.689,0.689,62,False
154,1997,Adrian Caldwell,caldwad01,2TM,0.42,0.42,45,True
673,1997,Alan Henderson,hendeal01,ATL,0.6,0.6,30,False
1059,1997,Aleksandar Djordjevic,djordal01,POR,0.8,0.8,8,False
275,1997,Allan Houston,houstal01,NYK,0.803,0.803,81,False
947,1997,Allen Iverson,iversal01,PHI,0.702,0.702,76,False
297,1997,Alonzo Mourning,mournal01,MIA,0.642,0.642,66,False
175,1997,Alton Lister,listeal01,BOS,0.742,0.742,53,False
1043,1997,Amal McCaskill,mccasam01,ORL,0.667,0.667,17,False
692,1997,Andrew DeClercq,declean01,GSW,0.603,0.603,71,False
457,1997,Andrew Lang,langan01,MIL,0.721,0.721,52,False
358,1997,Anfernee Hardaway,hardaan01,ORL,0.82,0.82,59,False
924,1997,Anthony Goldwire,goldwan01,2TM,0.782,0.782,60,True
193,1997,Anthony Mason,masonan01,CHH,0.745,0.745,73,False
292,1997,Anthony Miller,millean01,ATL,,,1,False
324,1997,Anthony Peeler,peelean01,VAN,0.82,0.82,72,False
156,1997,Antoine Carr,carran01,UTA,0.78,0.78,82,False
952,1997,Antoine Walker,walkean02,BOS,0.631,0.631,82,False
213,1997,Antonio Davis,davisan01,IND,0.666,0.666,82,False
176,1997,Antonio Harvey,harvean01,SEA,0.833,0.833,6,False
226,1997,Antonio Lang,langan02,CLE,0.729,0.729,64,False
686,1997,Antonio McDyess,mcdyean01,DEN,0.708,0.708,74,False
288,1997,Armen Gilliam,gilliar01,MIL,0.768,0.768,80,False
717,1997,Arvydas Sabonis,sabonar01,POR,0.777,0.777,69,False
732,1997,Ashraf Amaya,amayaas01,WSB,0.536,0.536,31,False
422,1997,Avery Johnson,johnsav01,SAS,0.69,0.69,76,False
769,1997,B.J. Armstrong,armstbj01,GSW,0.861,0.861,49,False
989,1997,Ben Davis,davisbe01,PHO,0.45,0.45,20,False
1112,1997,Ben Wallace,wallabe01,WSB,0.3,0.3,34,False
104,1997,Benoit Benjamin,benjabe01,TOR,0.75,0.75,4,False
82,1997,Bill Wennington,wennibi01,CHI,0.83,0.83,61,False
182,1997,Billy Owens,owensbi01,SAC,0.697,0.697,66,False
902,1997,Bimbo Coles,colesbi01,GSW,0.755,0.755,51,False
183,1997,Bison Dele,delebi01,CHI,0.733,0.733,9,False
898,1997,Blue Edwards,edwarbl01,VAN,0.817,0.817,61,False
448,1997,Bo Outlaw,outlabo01,LAC,0.504,0.504,82,False
682,1997,Bob Sura,surabo01,CLE,0.614,0.614,82,False
310,1997,Bobby Hurley,hurlebo01,SAC,0.698,0.698,49,False
184,1997,Bobby Phills,phillbo01,CLE,0.718,0.718,69,False
38,1997,Brad Lohaus,lohaubr01,TOR,,,6,False
699,1997,Brent Barry,barrybr01,LAC,0.817,0.817,59,False
85,1997,Brent Price,pricebr01,HOU,1.0,1.0,25,False
1064,1997,Brent Scott,scottbr01,IND,0.5,0.5,16,False
1136,1997,Brett Szabo,szabobr01,BOS,0.738,0.738,70,False
967,1997,Brian Evans,evansbr01,ORL,,,14,False
258,1997,Brian Grant,grantbr01,SAC,0.778,0.778,24,False
216,1997,Brian Shaw,shawbr01,ORL,0.793,0.793,77,False
240,1997,Brooks Thompson,thompbr01,2TM,0.632,0.632,67,True
1477,1997,Bruce Bowen,bowenbr01,MIA,,,1,False
735,1997,Bryant Reeves,reevebr01,VAN,0.704,0.704,75,False
179,1997,Bryant Stith,stithbr01,DEN,0.863,0.863,52,False
935,1997,Bryon Russell,russebr01,UTA,0.701,0.701,81,False
433,1997,Buck Williams,willibu01,NYK,0.642,0.642,74,False
2,1997,Byron Scott,scottby01,LAL,0.841,0.841,79,False
384,1997,Calbert Cheaney,cheanca01,WSB,0.693,0.693,79,False
61,1997,Carl Herrera,herreca01,SAS,0.686,0.686,75,False
1063,1997,Carl Thomas,thomaca01,CLE,1.0,1.0,19,False
435,1997,Carlos Rogers,rogerca01,TOR,0.6,0.6,56,False
76,1997,Cedric Ceballos,cebalce01,2TM,0.747,0.747,50,True
787,1997,Charles Barkley,barklch01,HOU,0.694,0.694,53,False
279,1997,Charles Jones,jonesch01,HOU,,,12,False
891,1997,Charles Oakley,oaklech01,NYK,0.808,0.808,80,False
293,1997,Charles Smith,smithch01,SAS,0.769,0.769,19,False
369,1997,Charlie Ward,wardch01,NYK,0.76,0.76,79,False
685,1997,Cherokee Parks,parksch02,MIN,0.605,0.605,76,False
713,1997,Chris Carr,carrch01,MIN,0.767,0.767,55,False
164,1997,Chris Childs,childch01,NYK,0.758,0.758,65,False
201,1997,Chris Dudley,dudlech02,POR,0.474,0.474,81,False
423,1997,Chris Gatling,gatlich01,2TM,0.717,0.717,47,True
1137,1997,Chris Jent,jentch01,NYK,,,3,False
168,1997,Chris Mills,millsch01,CLE,0.842,0.842,80,False
356,1997,Chris Morris,morrich01,UTA,0.722,0.722,73,False
904,1997,Chris Mullin,mullich01,GSW,0.864,0.864,79,False
997,1997,Chris Robinson,robinch01,VAN,0.615,0.615,41,False
185,1997,Chris Webber,webbech01,WSB,0.565,0.565,72,False
43,1997,Chris Whitney,whitnch01,WSB,0.832,0.832,82,False
363,1997,Christian Laettner,laettch01,ATL,0.816,0.816,82,False
359,1997,Chucky Brown,brownch01,2TM,0.671,0.671,70,True
221,1997,Clarence Weatherspoon,weathcl01,PHI,0.738,0.738,82,False
361,1997,Clifford Robinson,robincl02,POR,0.696,0.696,81,False
32,1997,Clifford Rozier,roziecl01,2TM,0.508,0.508,42,True
17,1997,Clyde Drexler,drexlcl01,HOU,0.75,0.75,62,False
916,1997,Corie Blount,blounco01,LAL,0.675,0.675,58,False
722,1997,Corliss Williamson,willico02,SAC,0.689,0.689,79,False
724,1997,Cory Alexander,alexaco01,SAS,0.736,0.736,80,False
378,1997,Craig Ehlo,ehlocr01,SEA,0.5,0.5,62,False
733,1997,Cuonzo Martin,marticu01,MIL,,,3,False
905,1997,Dale Davis,davisda01,IND,0.428,0.428,80,False
107,1997,Dale Ellis,ellisda01,DEN,0.817,0.817,82,False
757,1997,Damon Stoudamire,stoudda01,TOR,0.823,0.823,81,False
105,1997,Dan Majerle,majerda01,MIA,0.678,0.678,36,False
344,1997,Dana Barros,barroda01,BOS,0.86,0.86,24,False
198,1997,Danny Ferry,ferryda01,CLE,0.851,0.851,82,False
330,1997,Danny Manning,mannida01,PHO,0.721,0.721,77,False
7,1997,Danny Schayes,schayda01,ORL,0.75,0.75,45,False
353,1997,Darrell Armstrong,armstda01,ORL,0.868,0.868,67,False
